"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
2004,2806,"Sable East Spit",2013-05-27,2013-06-13,1,"166.38",NA,NA
2004,2808,"Sable East Spit",2013-06-14,2014-01-01,1,"166.38",NA,NA
2006,2810,"Sable West Spit",2013-08-15,2014-01-01,3,"166.38",NA,NA
2006,2811,"Sable West Spit",2013-06-01,2013-08-15,2,"166.38",NA,NA
2530,2812,"Wolfe",2016-02-01,2021-09-09,3,"166.38","CAN","North America"
2081,2813,"SERC",2014-09-10,2014-10-28,3,"166.38",NA,NA
2202,2814,"Stone Harbor Point",2015-07-01,2015-07-31,3,"166.38",NA,NA
1120,2817,"Holgate 2",2015-08-05,2015-09-30,3,"166.38",NA,NA
901,2821,"FINWR",2015-07-30,2015-08-26,3,"166.38",NA,NA
901,2823,"FINWR",2016-01-21,2016-02-16,2,"166.38",NA,NA
900,2824,"FINWR",2016-02-16,2016-02-19,3,"166.38",NA,NA
2003,2825,"Sable East Colony",2013-05-21,2013-08-19,1,"166.38","CAN","North America"
649,2827,"CONRD",2013-09-30,2013-12-04,2,"166.38","CAN","North America"
649,2828,"CONRD",2013-04-10,2013-06-23,3,"166.38","CAN","North America"
649,2829,"CONRD",2013-09-04,2013-09-30,2,"166.38","CAN","North America"
468,2830,"BULL",2015-07-22,2015-08-17,3,"166.38","USA","North America"
468,2831,"BULL",2015-08-17,2015-09-02,3,"166.38","USA","North America"
468,2832,"BULL",2015-09-10,2015-09-11,3,"166.38","USA","North America"
468,2833,"BULL",2015-09-11,2016-01-06,3,"166.38","USA","North America"
1423,2836,"MART",2013-10-20,2013-12-05,2,"166.38",NA,NA
623,2837,"CLHRB",2013-04-10,2013-08-06,2,"166.38",NA,NA
623,2838,"CLHRB",2013-08-11,2013-12-05,2,"166.38",NA,NA
2243,2839,"TAYL",2013-04-09,2014-05-17,2,"166.38",NA,NA
2473,2840,"West Quoddy",2013-04-09,2013-06-22,2,"166.38","CAN","North America"
2472,2841,"West Quoddy",2013-07-04,2014-05-18,2,"166.38","CAN","North America"
2155,2843,"SONO",2013-04-09,2014-05-18,2,"166.38","CAN","North America"
1877,2844,"PTBI",2013-04-09,2013-06-22,2,"166.38","CAN","North America"
1877,2845,"PTBI",2013-06-22,2013-08-02,2,"166.38","CAN","North America"
